,nav
2020-01-02,1.0056846769707029
2020-01-03,1.0061951875363846
2020-01-06,1.0061260056568242
2020-01-07,1.0087012587206554
2020-01-08,1.0082861293049767
2020-01-09,1.011411475020287
2020-01-10,1.0146745923098166
2020-01-13,1.0163469805725582
2020-01-14,1.0172471252596855
2020-01-15,1.0173729874160908
2020-01-16,1.0170695004600634
2020-01-17,1.0190078833139815
2020-01-20,1.0191592275229249
2020-01-21,1.020661306119779
2020-01-22,1.0210190615216899
2020-01-23,1.0238261632273395
2020-02-03,1.026512505265087
2020-02-04,1.0254039211924777
2020-02-05,1.031262563879789
2020-02-06,1.0313145795644876
2020-02-07,1.0358519174827308
2020-02-10,1.0397663859956097
2020-02-11,1.0454794401745908
2020-02-12,1.04802653730444
2020-02-13,1.0549404248209733
2020-02-14,1.052374402128251
2020-02-17,1.054553265774791
2020-02-18,1.0527987574224347
2020-02-19,1.053228994342131
2020-02-20,1.054614460051627
2020-02-21,1.0591782350778984
2020-02-24,1.0622251052357228
2020-02-25,1.061819659092222
2020-02-26,1.062863180876846
2020-02-27,1.066363854753456
2020-02-28,1.0673627227831846
2020-03-02,1.0655419469107117
2020-03-03,1.0651975973074297
2020-03-04,1.0695405902693378
2020-03-05,1.072144402928386
2020-03-06,1.074690116229786
2020-03-09,1.0793540205058756
2020-03-10,1.0834732538317355
2020-03-11,1.084377706958318
2020-03-12,1.0858889774758542
2020-03-13,1.0797661898251327
2020-03-16,1.0680628536934058
2020-03-17,1.0584922036904605
2020-03-18,1.059164396965898
2020-03-19,1.0560935965387113
2020-03-20,1.0588623130201449
2020-03-23,1.055994415243757
2020-03-24,1.0662671636682437
2020-03-25,1.0713526671787703
2020-03-26,1.072438323814564
2020-03-27,1.0745979516206257
2020-03-30,1.073809750781434
2020-03-31,1.0741170047896476
2020-04-01,1.0734276782295278
2020-04-02,1.0726565844986196
2020-04-03,1.0724273554401065
2020-04-07,1.0848336021404061
2020-04-08,1.08646073340838
2020-04-09,1.087152659744221
2020-04-10,1.0860366720063543
2020-04-13,1.085243527976344
2020-04-14,1.0898663896384497
2020-04-15,1.0937151801990628
2020-04-16,1.094200205087784
2020-04-17,1.092663765604462
2020-04-20,1.0923376147615445
2020-04-21,1.0957432278882728
2020-04-22,1.1006963807109982
2020-04-23,1.1033499240652958
2020-04-24,1.1053685380582987
2020-04-27,1.1063679143829965
2020-04-28,1.1067145773141098
2020-04-29,1.1082789131716555
2020-04-30,1.1016101300172665
2020-05-06,1.1009421086993065
