,trade_cost
2014-08-01,4.602127791529492e-06
2014-08-04,1.0317788229330757e-05
2014-08-05,1.3731198983014281e-05
2014-08-06,1.9614060094492875e-06
2014-08-07,3.83620875106859e-06
2014-08-08,3.5606936138108533e-06
2014-08-11,3.328391362835831e-07
2014-08-12,4.884171583778074e-06
2014-08-13,1.0969594452264475e-06
2014-08-14,2.954305823775344e-07
2014-08-15,8.382782212355098e-06
2014-08-18,3.0239943311927835e-06
2014-08-19,1.224598418408343e-06
2014-08-20,4.200862409948075e-07
2014-08-21,1.058774713622493e-06
2014-08-22,5.944034257360509e-07
2014-08-25,2.0123740948187198e-07
2014-08-26,5.073288997601275e-06
2014-08-27,1.8635970688787863e-06
2014-08-28,0.00014143131724240197
2014-08-29,9.122424365602123e-07
2014-09-01,4.132605943158285e-06
2014-09-02,2.6467275526971534e-07
2014-09-03,8.290004090478934e-06
2014-09-04,2.1205249415027077e-06
2014-09-05,1.8281937716845e-06
2014-09-09,1.9877470678073272e-06
2014-09-10,0.00017292563623419355
2014-09-11,2.3303762135680264e-06
2014-09-12,3.138719648709702e-06
2014-09-15,0.0001069555485580109
2014-09-16,3.6491660995519454e-06
2014-09-17,1.7487456959891608e-05
2014-09-18,4.83872074696786e-06
2014-09-19,9.417115907790343e-05
2014-09-22,8.286975474224315e-06
2014-09-23,2.6570950530223313e-05
2014-09-24,9.480246521631678e-05
2014-09-25,5.67368085961054e-05
2014-09-26,7.98934856337674e-06
2014-09-29,4.093036529612058e-05
2014-09-30,8.810648776665888e-06
2014-10-08,0.000580682069867627
2014-10-09,1.8653484313060944e-05
2014-10-10,0.0006931250352938971
2014-10-13,0.0005779620369770138
2014-10-14,0.0005880308803127601
2014-10-15,6.98225724666383e-05
2014-10-16,6.222684813409422e-06
2014-10-17,0.0005222425854821352
2014-10-20,0.0005167937298084195
2014-10-21,3.1881011552786223e-06
2014-10-22,1.0812533360065858e-05
2014-10-23,0.00018675094775968184
2014-10-24,0.00048700236049736985
2014-10-27,0.00016540390725410103
2014-10-28,5.174922452276875e-06
2014-10-29,0.00015532389677703064
2014-10-30,5.676799803817967e-06
2014-10-31,2.8156281024614616e-05
2014-11-03,4.158537229607949e-05
2014-11-04,7.816763938603241e-06
2014-11-05,2.2437823439409075e-05
2014-11-06,1.8808836332308857e-05
2014-11-07,1.596183101774648e-05
2014-11-10,1.0628029124228473e-05
2014-11-11,5.019197571598087e-05
2014-11-12,4.947135571830158e-06
2014-11-13,1.1631104321785366e-05
2014-11-14,1.0337204558853495e-05
2014-11-17,5.313599990686702e-06
2014-11-18,1.9456258474152958e-05
2014-11-19,9.51428157262038e-06
2014-11-20,7.844293298185965e-06
2014-11-21,9.74788829104127e-06
2014-11-24,1.1677634767118583e-05
2014-11-25,1.6810676996522146e-05
2014-11-26,4.772141628953827e-06
2014-11-27,7.70903602149535e-07
2014-11-28,2.8146185935148047e-06
2014-12-01,8.56514226517062e-06
2014-12-02,0.00012335058179301268
2014-12-03,3.87244724411867e-05
2014-12-04,6.506972855096249e-05
2014-12-05,2.6864901877655703e-05
2014-12-08,4.92508819322772e-06
2014-12-09,8.568520718229943e-06
2014-12-10,2.9415669449428278e-05
2014-12-11,1.5982871005356656e-05
2014-12-12,2.771653647093044e-05
2014-12-15,2.4338079625716437e-06
2014-12-16,2.7280529296073163e-06
2014-12-17,4.077318264846745e-06
2014-12-18,1.9380497875661062e-05
2014-12-19,2.1643533378625595e-05
2014-12-22,2.2965377059119433e-05
2014-12-23,1.7614830475166099e-06
2014-12-24,5.597566583370899e-06
2014-12-25,6.844348831137958e-06
2014-12-26,3.5445813618101145e-06
2014-12-29,2.992278861994921e-06
2014-12-30,3.1468093070703974e-06
2014-12-31,5.7059961976582485e-06
2015-01-05,3.2197943505230044e-06
2015-01-06,1.034769807287942e-05
2015-01-07,5.559932909481951e-06
2015-01-08,1.3507560362254478e-06
2015-01-09,8.706332472297198e-06
2015-01-12,3.433830601798516e-06
2015-01-13,5.7656148908781825e-06
2015-01-14,3.867259045190821e-06
2015-01-15,5.749147650667211e-07
2015-01-16,8.64071951087212e-06
2015-01-19,2.3771202669316503e-05
2015-01-20,3.0378945938033994e-05
2015-01-21,2.4848071269918253e-06
2015-01-22,1.082929556580107e-05
2015-01-23,9.774548642134336e-06
2015-01-26,7.374861761385712e-06
2015-01-27,2.3874483480397847e-07
2015-01-28,4.1627027757927885e-06
2015-01-29,7.4477530542734835e-06
2015-01-30,4.714266226949947e-06
2015-02-02,1.5146445127280188e-05
2015-02-03,0.00013803447171242545
2015-02-04,1.9063293392440235e-06
2015-02-05,5.943133860306628e-06
2015-02-06,1.3483587280072803e-06
2015-02-09,1.4062947299317441e-05
2015-02-10,0.00013553410008830427
2015-02-11,0.0001820850887809646
2015-02-12,1.5699710174398357e-05
2015-02-13,1.9127885266205514e-06
2015-02-16,0.00016241381942053528
2015-02-17,0.00016231293702503803
2015-02-25,1.1923520334758826e-06
2015-02-26,3.5516757128397635e-06
2015-02-27,5.805444430268779e-06
2015-03-02,9.588971946945801e-08
2015-03-03,1.213794835601359e-05
2015-03-04,9.568031250642852e-06
2015-03-05,2.303257678216014e-06
2015-03-06,3.5992591538133307e-06
2015-03-09,3.850961259325436e-07
2015-03-10,1.0475391170362517e-05
2015-03-11,1.2052180951197396e-06
2015-03-12,2.3867391316885556e-05
2015-03-13,2.3255971448870176e-06
2015-03-16,5.098034879307406e-07
2015-03-17,6.842316180695765e-06
2015-03-18,0.0001694694101689887
2015-03-19,0.0001686502924683487
2015-03-20,0.0001676568153225092
2015-03-23,7.313461245310738e-07
2015-03-24,6.63473010438765e-06
2015-03-25,1.6519389508657806e-06
2015-03-26,1.1188147890883669e-06
2015-03-27,1.6764561652653833e-05
2015-03-30,1.5852017858866418e-06
2015-03-31,3.1612199665635704e-05
2015-04-01,5.01916660902849e-05
2015-04-02,1.4876801529333232e-05
2015-04-03,8.237070417895266e-06
2015-04-07,1.0194651603218293e-06
2015-04-08,3.619648360412689e-06
2015-04-09,1.585997516032965e-06
2015-04-10,6.696090273956116e-06
2015-04-13,5.77732393182092e-06
2015-04-14,1.5921484213803004e-06
2015-04-15,3.214428161324237e-06
2015-04-16,2.9268867855284724e-06
2015-04-17,4.441669492286427e-05
2015-04-20,2.0632094545243106e-06
2015-04-21,1.9131298911091896e-05
2015-04-22,9.708820386498173e-06
2015-04-23,2.4873389812306023e-06
2015-04-24,5.5505415465618295e-06
2015-04-27,1.4999897718931191e-05
2015-04-28,4.025722381855015e-06
2015-04-29,1.1066483323582884e-05
2015-04-30,2.366576136365192e-06
2015-05-04,3.582043291332035e-06
2015-05-05,1.3191589687241031e-05
2015-05-06,1.6141194514197528e-05
