,TSMOM,start,end,n_obs,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,win_rate,avg_period_return
start,2014-08-01 00:00:00,,,,,,,,,,,,
end,2026-03-30 00:00:00,,,,,,,,,,,,
n_obs,2832,,,,,,,,,,,,
total_return,0.39651769600281983,,,,,,,,,,,,
annual_return,0.03017554024057123,,,,,,,,,,,,
annual_vol,0.033396164538592434,,,,,,,,,,,,
sharpe,0.31396406205588034,,,,,,,,,,,,
sortino,0.43608581113023076,,,,,,,,,,,,
calmar,0.4146577752256944,,,,,,,,,,,,
max_drawdown,-0.0727721558438087,,,,,,,,,,,,
win_rate,0.5369127516778524,,,,,,,,,,,,
avg_period_return,0.00012019286053870922,,,,,,,,,,,,
Buy&Hold,,2014-08-01 00:00:00,2026-03-30 00:00:00,2832,1.9749330832949803,0.10191051681373375,0.12684546551077588,0.8288814006259596,1.015673203820998,0.4802819654709677,-0.21218893096225178,0.5446838572942423,0.0004172216155381895
FixedWeight_M,,2014-08-01 00:00:00,2026-03-30 00:00:00,2832,1.8487719577200306,0.09766829086445572,0.11620901950373226,0.8603064570497466,1.1054040780652408,0.5123865589126105,-0.1906144670768255,0.542917696926881,0.00039672765812095556
