,TSMOM,Buy&Hold,FixedWeight_M
start,2020-01-02 00:00:00,2020-01-02 00:00:00,2020-01-02 00:00:00
end,2026-03-30 00:00:00,2026-03-30 00:00:00,2026-03-30 00:00:00
n_obs,1510,1510,1510
total_return,0.4060530326762981,1.1300605175455338,1.2167406815342434
annual_return,0.058561244804617774,0.13459483322206323,0.1421777601633223
annual_vol,0.06576318975620565,0.13415917696963703,0.12439332333351595
sharpe,0.5973147577956306,1.0088182615275623,1.1313483752344113
sortino,0.6428201469719066,1.2506253977565733,1.4215774140719646
calmar,0.5286438643032775,0.8484032737714625,0.8546498653096477
max_drawdown,-0.11077636336855656,-0.158644877245393,-0.16635790390233074
win_rate,0.5772034459907224,0.5579854208084825,0.5559973492379059
avg_period_return,0.00023446321087788795,0.0005370723320574515,0.0005584610485848494
